        YY         MM         dd       wdir       wspd        gst       wvht        dpd        adp        mwp       pres       atmp       wtmp       dewp        vis       tide
        yr         mo         dy       degT        m/s        m/s          m        sec        sec       degT        hPa       degC       degC       degC        nmi         ft
      2013          9          1  164.33333  4.5416667  5.2916667          1  11.458333  6.4166667      259.5     1012.5     15.625         17        999         99         99
      2013          9          2  181.20833      6.625          8      1.625  10.083333  5.7916667  276.91667  1011.5833  16.458333  17.916667        999         99         99
      2013          9          3  177.08333  6.7916667      8.125  1.5833333  7.5416667  5.7083333    246.625  1014.0833     16.625         18        999         99         99
      2013          9          4  176.08333  3.9583333  4.7916667          1  7.5833333      5.375  233.66667  1016.7083     16.875         18        999         99         99
      2013          9          5  225.33333  3.0833333  3.8333333          1      11.25  5.8333333  206.70833     1391.5  17.291667     18.125        999         99         99
      2013          9          6  285.36364          5  6.0909091  5.8636364  15.227273  10.045455  323.77273  1019.7273  17.818182  17.636364        999         99         99
      2013          9          7        127  3.2083333          4      1.875  10.458333  7.0833333  305.04167  1018.4583  16.916667       17.5        999         99         99
      2013          9          8  224.33333  8.7083333  10.416667  1.7083333          8  5.0416667    323.875  1017.1667         17         17        999         99         99
      2013          9          9  94.083333  9.5833333  11.541667          2  6.4166667          5  311.58333  1016.8333  15.958333  15.458333        999         99         99
      2013          9         10     196.25  8.5833333  10.208333          2  6.0833333          5  342.58333   1012.625  15.541667  14.666667        999         99         99
      2013          9         11  230.18182  5.6818182  6.8636364  9.9090909  16.454545  13.863636        349  1011.4091  14.954545  14.227273        999         99         99
      2013          9         12  167.33333  3.6666667  4.5833333  1.8333333  13.833333  8.6666667     283.25  1016.0417         15  15.958333        999         99         99
      2013          9         13  155.45833      1.875  2.4583333  1.0833333  11.291667  8.9166667  286.70833  1015.3333     15.375  15.666667        999         99         99
      2013          9         14  38.583333  4.0416667  4.8333333  5.0833333  13.416667  10.791667  311.95833  1011.2083  16.083333  14.666667        999         99         99
      2013          9         15  210.20833  2.2916667  2.9583333  1.0833333  11.791667  7.5416667  262.33333  1009.4167  15.333333  15.041667        999         99         99
      2013          9         16  192.54167  4.1666667  5.0833333  1.9583333       12.5  8.2916667  274.41667       1014  15.416667  15.541667        999         99         99
      2013          9         17  215.91667        3.5  4.1666667      5.875      14.75  11.041667      318.5   1013.875  15.958333      15.75        999         99         99
      2013          9         18  266.16667      2.125          3          2  10.791667  7.5833333        297   1018.125      15.75     15.375        999         99         99
      2013          9         19  101.29167  3.3333333  3.9583333        1.5  9.9583333  7.5416667    307.625  1014.2083  15.458333  15.291667        999         99         99
      2013          9         20  169.45833  6.5833333  7.7916667          6  15.833333  10.916667  300.04167  1007.0833  15.458333      15.75        999         99         99
      2013          9         21  192.95652  4.8695652          6          3  12.043478   8.826087  282.91304       1006  15.565217  15.782609        999         99         99
      2013          9         22  220.91304  8.0869565  10.173913  3.1304348  10.478261  7.5652174  274.17391  1007.6087         16  15.782609        999         99         99
      2013          9         23  242.79167  5.3333333      6.875      3.875  12.958333       8.75  290.45833  1013.0417  16.083333  15.791667        999         99         99
      2013          9         24        196  3.8333333  5.6666667  4.4166667  14.416667  10.458333  294.83333  1015.0833         14  15.708333        999         99         99
      2013          9         25  253.91667  3.5416667      5.375      3.625  13.541667  9.4166667  309.83333  1014.0417  12.791667  15.958333        999         99         99
      2013          9         26  95.458333  3.5833333  4.8333333  2.6666667     11.625  7.9166667    312.125   1019.125  15.166667  16.416667        999         99         99
      2013          9         27  257.29167  6.1666667  7.5833333          2  8.2083333  6.1666667    285.625  1020.5417     15.375     16.125        999         99         99
      2013          9         28     212.25      11.75  14.458333  7.0833333  13.666667  10.083333  268.16667  1009.0833      15.75  15.916667        999         99         99
      2013          9         29      218.5  12.333333     15.125  5.5833333  12.208333  8.4166667     258.25  1002.9583  15.041667         15        999         99         99
      2013          9         30  243.34783  11.913043  15.086957  14.478261  21.391304  17.086957  346.21739  1006.6957  14.956522  15.130435        999         99         99
